,model,task,pe_technique,significance at 0.05,significance at 0.01,significance at 0.001,eff_size,eff_desc,is_improved
301,gpt-3.5-turbo,math-geometry,zero-shot-cot vs null-shot-cot,False,False,False,,,True
302,gpt-3.5-turbo,math-count-prob,zero-shot vs null-shot,True,True,False,-0.2745098039215686,small,True
303,gpt-3.5-turbo,math-count-prob,zero-shot-cot vs null-shot-cot,False,False,False,,,True
304,gpt-3.5-turbo,math-pre-calc,zero-shot vs null-shot,False,False,False,,,True
305,gpt-3.5-turbo,math-pre-calc,zero-shot-cot vs null-shot-cot,False,False,False,,,False
306,claude-3-sonnet,math-number,zero-shot vs null-shot,False,False,False,,,False
307,claude-3-sonnet,math-number,zero-shot-cot vs null-shot-cot,True,True,True,0.7248677248677249,large,False
308,claude-3-sonnet,math-algebra,zero-shot vs null-shot,False,False,False,,,True
309,claude-3-sonnet,math-algebra,zero-shot-cot vs null-shot-cot,True,True,True,0.8890756302521008,large,False
310,claude-3-sonnet,anli,zero-shot vs null-shot,True,True,True,0.30622009569377995,medium,False
311,claude-3-sonnet,anli,zero-shot-cot vs null-shot-cot,True,True,True,-0.18969555035128804,small,True
312,claude-3-sonnet,triviaqa,zero-shot vs null-shot,True,True,True,0.9551020408163264,large,False
313,claude-3-sonnet,triviaqa,zero-shot-cot vs null-shot-cot,True,True,True,0.903061224489796,large,False
314,claude-3-sonnet,halueval-summarization,zero-shot vs null-shot,True,True,True,-0.06791744840525332,small,True
315,claude-3-sonnet,race-m,zero-shot vs null-shot,True,True,True,0.4830917874396135,medium,False
316,claude-3-sonnet,race-m,zero-shot-cot vs null-shot-cot,True,True,True,-0.2808510638297872,small,True
317,claude-3-sonnet,strategyqa,zero-shot vs null-shot,True,True,True,0.6803571428571429,large,False
318,claude-3-sonnet,strategyqa,zero-shot-cot vs null-shot-cot,True,True,True,0.9055258467023173,large,False
319,claude-3-sonnet,winogrande,zero-shot vs null-shot,True,True,True,0.6712328767123288,large,False
320,claude-3-sonnet,winogrande,zero-shot-cot vs null-shot-cot,True,True,True,0.8383128295254834,large,False
321,claude-3-sonnet,math-pre-algebra,zero-shot vs null-shot,False,False,False,,,True
322,claude-3-sonnet,math-pre-algebra,zero-shot-cot vs null-shot-cot,True,True,True,0.903420523138833,large,False
323,claude-3-sonnet,math-int-algebra,zero-shot vs null-shot,False,False,False,,,False
324,claude-3-sonnet,math-int-algebra,zero-shot-cot vs null-shot-cot,True,True,True,0.7122302158273381,large,False
325,claude-3-sonnet,gsm8k,zero-shot vs null-shot,True,True,True,0.4424242424242424,medium,False
326,claude-3-sonnet,gsm8k,zero-shot-cot vs null-shot-cot,False,False,False,,,False
327,claude-3-sonnet,aqua,zero-shot vs null-shot,False,False,False,,,False
328,claude-3-sonnet,aqua,zero-shot-cot vs null-shot-cot,True,False,False,0.2972972972972973,small,False
329,claude-3-sonnet,halueval-qa,zero-shot vs null-shot,True,True,True,0.214016411621202,small,False
330,claude-3-sonnet,race-h,zero-shot vs null-shot,True,True,True,0.42116630669546434,medium,False
331,claude-3-sonnet,race-h,zero-shot-cot vs null-shot-cot,True,True,True,-0.20181405895691612,small,True
332,claude-3-sonnet,halueval-general,zero-shot vs null-shot,False,False,False,,,True
333,claude-3-sonnet,halueval-dialogue,zero-shot vs null-shot,True,True,True,-0.2400279916025192,small,True
334,claude-3-sonnet,math-geometry,zero-shot vs null-shot,True,False,False,0.29411764705882354,small,False
335,claude-3-sonnet,math-geometry,zero-shot-cot vs null-shot-cot,True,True,True,0.8394160583941606,large,False
336,claude-3-sonnet,math-count-prob,zero-shot vs null-shot,False,False,False,,,False
337,claude-3-sonnet,math-count-prob,zero-shot-cot vs null-shot-cot,True,True,True,0.8709677419354838,large,False
338,claude-3-sonnet,math-pre-calc,zero-shot vs null-shot,False,False,False,,,False
339,claude-3-sonnet,math-pre-calc,zero-shot-cot vs null-shot-cot,True,True,True,0.558139534883721,large,False
