model,task,method,Correct,Incorrect,Empty
claude-2.1,math-int-algebra,zero-shot,113,790,0
claude-2.1,math-int-algebra,null-shot-cot,110,793,0
claude-2.1,math-int-algebra,zero-shot-cot,119,784,0
claude-2.1,math-int-algebra,null-shot,114,789,0
claude-2.1,gsm8k,zero-shot,1041,278,0
claude-2.1,gsm8k,null-shot-cot,998,321,0
claude-2.1,gsm8k,zero-shot-cot,1032,287,0
claude-2.1,gsm8k,null-shot,843,476,0
claude-2.1,aqua,zero-shot,165,89,0
claude-2.1,aqua,null-shot-cot,160,94,0
claude-2.1,aqua,zero-shot-cot,164,90,0
claude-2.1,aqua,null-shot,146,108,0
claude-2.1,halueval-qa,zero-shot,4530,5470,0
claude-2.1,halueval-qa,null-shot,3926,6074,0
claude-2.1,race-h,zero-shot,1394,2104,0
claude-2.1,race-h,null-shot-cot,1308,2190,0
claude-2.1,race-h,zero-shot-cot,1318,2180,0
claude-2.1,race-h,null-shot,1435,2063,0
claude-2.1,halueval-general,zero-shot,3667,840,0
claude-2.1,halueval-general,null-shot,3660,847,0
claude-2.1,halueval-dialogue,zero-shot,6168,3832,0
claude-2.1,halueval-dialogue,null-shot,5512,4488,0
claude-2.1,math-geometry,zero-shot,110,369,0
claude-2.1,math-geometry,null-shot-cot,105,374,0
claude-2.1,math-geometry,zero-shot-cot,96,383,0
claude-2.1,math-geometry,null-shot,103,376,0
claude-2.1,math-count-prob,zero-shot,105,369,0
claude-2.1,math-count-prob,null-shot-cot,105,369,0
claude-2.1,math-count-prob,zero-shot-cot,104,370,0
claude-2.1,math-count-prob,null-shot,101,373,0
claude-2.1,math-pre-calc,zero-shot,72,474,0
claude-2.1,math-pre-calc,null-shot-cot,94,452,0
claude-2.1,math-pre-calc,zero-shot-cot,85,461,0
claude-2.1,math-pre-calc,null-shot,80,466,0
pythia-70m,math-number,zero-shot,0,540,0
pythia-70m,math-number,null-shot,0,540,0
pythia-70m,math-algebra,zero-shot,0,1187,0
pythia-70m,math-algebra,null-shot,0,1187,0
pythia-70m,anli,zero-shot,22,1178,0
pythia-70m,anli,null-shot,10,1190,0
pythia-70m,triviaqa,zero-shot,19,981,0
pythia-70m,triviaqa,null-shot,21,979,0
pythia-70m,race-m,zero-shot,49,1387,0
pythia-70m,race-m,null-shot,57,1379,0
pythia-70m,strategyqa,zero-shot,911,1379,0
pythia-70m,strategyqa,null-shot,690,1600,0
pythia-70m,winogrande,zero-shot,404,863,0
pythia-70m,winogrande,null-shot,216,1051,0
pythia-70m,math-pre-algebra,zero-shot,0,871,0
pythia-70m,math-pre-algebra,null-shot,0,871,0
pythia-70m,math-int-algebra,zero-shot,0,903,0
pythia-70m,math-int-algebra,null-shot,0,903,0
pythia-70m,gsm8k,zero-shot,14,1305,0
pythia-70m,gsm8k,null-shot,23,1296,0
pythia-70m,aqua,zero-shot,21,233,0
pythia-70m,aqua,null-shot,16,238,0
pythia-70m,race-h,zero-shot,92,3406,0
pythia-70m,race-h,null-shot,80,3418,0
pythia-70m,math-geometry,zero-shot,0,479,0
pythia-70m,math-geometry,null-shot,0,479,0
pythia-70m,math-count-prob,zero-shot,0,474,0
pythia-70m,math-count-prob,null-shot,0,474,0
pythia-70m,math-pre-calc,zero-shot,0,546,0
pythia-70m,math-pre-calc,null-shot,0,546,0
palm-2-text,math-number,zero-shot,64,476,0
palm-2-text,math-number,null-shot-cot,56,484,0
palm-2-text,math-number,zero-shot-cot,57,483,0
palm-2-text,math-number,null-shot,63,477,0
palm-2-text,math-algebra,zero-shot,200,987,0
palm-2-text,math-algebra,null-shot-cot,197,989,1
palm-2-text,math-algebra,zero-shot-cot,200,987,0
palm-2-text,math-algebra,null-shot,193,993,1
palm-2-text,anli,zero-shot,590,504,106
palm-2-text,anli,null-shot-cot,585,511,104
palm-2-text,anli,zero-shot-cot,590,509,101
palm-2-text,anli,null-shot,606,547,47
palm-2-text,triviaqa,zero-shot,642,256,102
palm-2-text,triviaqa,null-shot-cot,637,309,54
palm-2-text,triviaqa,zero-shot-cot,667,266,67
palm-2-text,triviaqa,null-shot,687,285,28
palm-2-text,halueval-summarization,zero-shot,3761,1560,4679
palm-2-text,halueval-summarization,null-shot,4078,1706,4216
palm-2-text,race-m,zero-shot,1187,151,98
palm-2-text,race-m,null-shot-cot,1185,157,94
palm-2-text,race-m,zero-shot-cot,1020,295,121
palm-2-text,race-m,null-shot,1209,155,72
palm-2-text,strategyqa,zero-shot,1370,556,364
palm-2-text,strategyqa,null-shot-cot,1359,755,176
palm-2-text,strategyqa,zero-shot-cot,1436,532,322
palm-2-text,strategyqa,null-shot,1520,695,75
palm-2-text,winogrande,zero-shot,921,222,124
palm-2-text,winogrande,null-shot-cot,963,254,50
palm-2-text,winogrande,zero-shot-cot,810,336,121
palm-2-text,winogrande,null-shot,1014,242,11
palm-2-text,math-pre-algebra,zero-shot,154,714,3
palm-2-text,math-pre-algebra,null-shot-cot,151,718,2
palm-2-text,math-pre-algebra,zero-shot-cot,179,691,1
palm-2-text,math-pre-algebra,null-shot,150,719,2
palm-2-text,math-int-algebra,zero-shot,102,793,8
palm-2-text,math-int-algebra,null-shot-cot,100,795,8
palm-2-text,math-int-algebra,zero-shot-cot,94,803,6
palm-2-text,math-int-algebra,null-shot,107,790,6
palm-2-text,gsm8k,zero-shot,195,1071,53
palm-2-text,gsm8k,null-shot-cot,574,733,12
palm-2-text,gsm8k,zero-shot-cot,794,510,15
palm-2-text,gsm8k,null-shot,217,1097,5
palm-2-text,aqua,zero-shot,74,174,6
palm-2-text,aqua,null-shot-cot,41,207,6
palm-2-text,aqua,zero-shot-cot,90,157,7
palm-2-text,aqua,null-shot,72,182,0
palm-2-text,halueval-qa,zero-shot,6145,3774,81
palm-2-text,halueval-qa,null-shot,6204,3767,29
palm-2-text,race-h,zero-shot,2503,463,532
palm-2-text,race-h,null-shot-cot,2527,510,461
palm-2-text,race-h,zero-shot-cot,2103,843,552
palm-2-text,race-h,null-shot,2594,509,395
palm-2-text,halueval-general,zero-shot,3462,865,180
palm-2-text,halueval-general,null-shot,3519,881,107
palm-2-text,halueval-dialogue,zero-shot,6604,3091,305
palm-2-text,halueval-dialogue,null-shot,6739,3170,91
palm-2-text,math-geometry,zero-shot,68,411,0
palm-2-text,math-geometry,null-shot-cot,63,416,0
palm-2-text,math-geometry,zero-shot-cot,56,423,0
palm-2-text,math-geometry,null-shot,65,414,0
palm-2-text,math-count-prob,zero-shot,61,413,0
palm-2-text,math-count-prob,null-shot-cot,62,412,0
palm-2-text,math-count-prob,zero-shot-cot,59,414,1
palm-2-text,math-count-prob,null-shot,52,422,0
palm-2-text,math-pre-calc,zero-shot,68,476,2
palm-2-text,math-pre-calc,null-shot-cot,66,479,1
palm-2-text,math-pre-calc,zero-shot-cot,68,476,2
palm-2-text,math-pre-calc,null-shot,68,476,2
claude-3-haiku,math-number,zero-shot,174,366,0
claude-3-haiku,math-number,null-shot-cot,189,351,0
claude-3-haiku,math-number,zero-shot-cot,184,356,0
claude-3-haiku,math-number,null-shot,184,356,0
claude-3-haiku,math-algebra,zero-shot,574,613,0
claude-3-haiku,math-algebra,null-shot-cot,577,610,0
claude-3-haiku,math-algebra,zero-shot-cot,583,604,0
claude-3-haiku,math-algebra,null-shot,567,620,0
claude-3-haiku,anli,zero-shot,343,857,0
claude-3-haiku,anli,null-shot-cot,364,836,0
claude-3-haiku,anli,zero-shot-cot,379,821,0
claude-3-haiku,anli,null-shot,461,739,0
claude-3-haiku,triviaqa,zero-shot,785,215,0
claude-3-haiku,triviaqa,null-shot-cot,650,350,0
claude-3-haiku,triviaqa,zero-shot-cot,770,230,0
claude-3-haiku,triviaqa,null-shot,645,355,0
claude-3-haiku,halueval-summarization,zero-shot,5039,4961,0
claude-3-haiku,halueval-summarization,null-shot,5354,4646,0
claude-3-haiku,race-m,zero-shot,1090,346,0
claude-3-haiku,race-m,null-shot-cot,939,497,0
claude-3-haiku,race-m,zero-shot-cot,650,786,0
claude-3-haiku,race-m,null-shot,988,448,0
claude-3-haiku,strategyqa,zero-shot,1001,1289,0
claude-3-haiku,strategyqa,null-shot-cot,650,1640,0
claude-3-haiku,strategyqa,zero-shot-cot,661,1629,0
claude-3-haiku,strategyqa,null-shot,665,1625,0
claude-3-haiku,winogrande,zero-shot,767,500,0
claude-3-haiku,winogrande,null-shot-cot,292,975,0
claude-3-haiku,winogrande,zero-shot-cot,577,690,0
claude-3-haiku,winogrande,null-shot,511,756,0
claude-3-haiku,math-pre-algebra,zero-shot,486,385,0
claude-3-haiku,math-pre-algebra,null-shot-cot,488,383,0
claude-3-haiku,math-pre-algebra,zero-shot-cot,498,373,0
claude-3-haiku,math-pre-algebra,null-shot,462,409,0
claude-3-haiku,math-int-algebra,zero-shot,133,770,0
claude-3-haiku,math-int-algebra,null-shot-cot,120,783,0
claude-3-haiku,math-int-algebra,zero-shot-cot,142,761,0
claude-3-haiku,math-int-algebra,null-shot,137,766,0
claude-3-haiku,gsm8k,zero-shot,897,422,0
claude-3-haiku,gsm8k,null-shot-cot,888,431,0
claude-3-haiku,gsm8k,zero-shot-cot,906,413,0
claude-3-haiku,gsm8k,null-shot,874,445,0
claude-3-haiku,aqua,zero-shot,161,93,0
claude-3-haiku,aqua,null-shot-cot,155,99,0
claude-3-haiku,aqua,zero-shot-cot,160,94,0
claude-3-haiku,aqua,null-shot,149,105,0
claude-3-haiku,halueval-qa,zero-shot,6068,3932,0
claude-3-haiku,halueval-qa,null-shot,5841,4159,0
claude-3-haiku,race-h,zero-shot,2066,1432,0
claude-3-haiku,race-h,null-shot-cot,1903,1595,0
claude-3-haiku,race-h,zero-shot-cot,1395,2103,0
claude-3-haiku,race-h,null-shot,1885,1613,0
claude-3-haiku,halueval-general,zero-shot,3627,880,0
claude-3-haiku,halueval-general,null-shot,3593,914,0
claude-3-haiku,halueval-dialogue,zero-shot,6704,3296,0
claude-3-haiku,halueval-dialogue,null-shot,6841,3159,0
claude-3-haiku,math-geometry,zero-shot,124,355,0
claude-3-haiku,math-geometry,null-shot-cot,119,360,0
claude-3-haiku,math-geometry,zero-shot-cot,108,371,0
claude-3-haiku,math-geometry,null-shot,118,361,0
claude-3-haiku,math-count-prob,zero-shot,128,346,0
claude-3-haiku,math-count-prob,null-shot-cot,130,344,0
claude-3-haiku,math-count-prob,zero-shot-cot,138,336,0
claude-3-haiku,math-count-prob,null-shot,131,343,0
claude-3-haiku,math-pre-calc,zero-shot,103,443,0
claude-3-haiku,math-pre-calc,null-shot-cot,118,428,0
claude-3-haiku,math-pre-calc,zero-shot-cot,99,447,0
claude-3-haiku,math-pre-calc,null-shot,107,439,0
qwen-1.5-1.8b-chat,math-number,zero-shot,23,517,0
qwen-1.5-1.8b-chat,math-number,null-shot,12,528,0
qwen-1.5-1.8b-chat,math-algebra,zero-shot,87,1100,0
qwen-1.5-1.8b-chat,math-algebra,null-shot,56,1131,0
qwen-1.5-1.8b-chat,anli,zero-shot,414,786,0
qwen-1.5-1.8b-chat,anli,null-shot,317,883,0
qwen-1.5-1.8b-chat,triviaqa,zero-shot,365,635,0
qwen-1.5-1.8b-chat,triviaqa,null-shot,378,622,0
qwen-1.5-1.8b-chat,race-m,zero-shot,1001,435,0
qwen-1.5-1.8b-chat,race-m,null-shot,963,473,0
qwen-1.5-1.8b-chat,strategyqa,zero-shot,929,1361,0
qwen-1.5-1.8b-chat,strategyqa,null-shot,853,1437,0
qwen-1.5-1.8b-chat,winogrande,zero-shot,421,846,0
qwen-1.5-1.8b-chat,winogrande,null-shot,236,1031,0
qwen-1.5-1.8b-chat,math-pre-algebra,zero-shot,59,812,0
qwen-1.5-1.8b-chat,math-pre-algebra,null-shot,46,825,0
qwen-1.5-1.8b-chat,math-int-algebra,zero-shot,40,863,0
qwen-1.5-1.8b-chat,math-int-algebra,null-shot,25,878,0
qwen-1.5-1.8b-chat,gsm8k,zero-shot,394,925,0
qwen-1.5-1.8b-chat,gsm8k,null-shot,236,1083,0
qwen-1.5-1.8b-chat,aqua,zero-shot,57,197,0
qwen-1.5-1.8b-chat,aqua,null-shot,68,186,0
qwen-1.5-1.8b-chat,race-h,zero-shot,2244,1254,0
qwen-1.5-1.8b-chat,race-h,null-shot,2185,1313,0
qwen-1.5-1.8b-chat,math-geometry,zero-shot,16,463,0
qwen-1.5-1.8b-chat,math-geometry,null-shot,11,468,0
qwen-1.5-1.8b-chat,math-count-prob,zero-shot,16,458,0
qwen-1.5-1.8b-chat,math-count-prob,null-shot,13,461,0
qwen-1.5-1.8b-chat,math-pre-calc,zero-shot,25,521,0
qwen-1.5-1.8b-chat,math-pre-calc,null-shot,21,525,0
gemini-pro-text,math-number,zero-shot,87,453,0
gemini-pro-text,math-number,null-shot-cot,107,427,6
gemini-pro-text,math-number,zero-shot-cot,90,449,1
gemini-pro-text,math-number,null-shot,87,453,0
gemini-pro-text,math-algebra,zero-shot,296,891,0
gemini-pro-text,math-algebra,null-shot-cot,510,676,1
gemini-pro-text,math-algebra,zero-shot-cot,396,791,0
gemini-pro-text,math-algebra,null-shot,320,867,0
gemini-pro-text,anli,zero-shot,607,570,23
gemini-pro-text,anli,null-shot-cot,539,644,17
gemini-pro-text,anli,zero-shot-cot,580,602,18
gemini-pro-text,anli,null-shot,620,574,6
gemini-pro-text,triviaqa,zero-shot,702,241,57
gemini-pro-text,triviaqa,null-shot-cot,9,974,17
gemini-pro-text,triviaqa,zero-shot-cot,616,342,42
gemini-pro-text,triviaqa,null-shot,253,724,23
gemini-pro-text,halueval-summarization,zero-shot,6554,3154,292
gemini-pro-text,halueval-summarization,null-shot,6541,3164,295
gemini-pro-text,race-m,zero-shot,1192,166,78
gemini-pro-text,race-m,null-shot-cot,1158,195,83
gemini-pro-text,race-m,zero-shot-cot,1194,151,91
gemini-pro-text,race-m,null-shot,1215,161,60
gemini-pro-text,strategyqa,zero-shot,1535,648,107
gemini-pro-text,strategyqa,null-shot-cot,24,2191,75
gemini-pro-text,strategyqa,zero-shot-cot,1521,690,79
gemini-pro-text,strategyqa,null-shot,1160,1075,55
gemini-pro-text,winogrande,zero-shot,809,414,44
gemini-pro-text,winogrande,null-shot-cot,3,1248,16
gemini-pro-text,winogrande,zero-shot-cot,796,431,40
gemini-pro-text,winogrande,null-shot,798,438,31
gemini-pro-text,math-pre-algebra,zero-shot,278,593,0
gemini-pro-text,math-pre-algebra,null-shot-cot,418,450,3
gemini-pro-text,math-pre-algebra,zero-shot-cot,345,524,2
gemini-pro-text,math-pre-algebra,null-shot,304,567,0
gemini-pro-text,math-int-algebra,zero-shot,134,769,0
gemini-pro-text,math-int-algebra,null-shot-cot,118,781,4
gemini-pro-text,math-int-algebra,zero-shot-cot,127,773,3
gemini-pro-text,math-int-algebra,null-shot,128,774,1
gemini-pro-text,gsm8k,zero-shot,680,596,43
gemini-pro-text,gsm8k,null-shot-cot,820,493,6
gemini-pro-text,gsm8k,zero-shot-cot,911,394,14
gemini-pro-text,gsm8k,null-shot,877,435,7
gemini-pro-text,aqua,zero-shot,65,186,3
gemini-pro-text,aqua,null-shot-cot,128,125,1
gemini-pro-text,aqua,zero-shot-cot,118,136,0
gemini-pro-text,aqua,null-shot,90,163,1
gemini-pro-text,halueval-qa,zero-shot,6254,3733,13
gemini-pro-text,halueval-qa,null-shot,6346,3634,20
gemini-pro-text,race-h,zero-shot,2722,559,217
gemini-pro-text,race-h,null-shot-cot,2716,598,184
gemini-pro-text,race-h,zero-shot-cot,2745,530,223
gemini-pro-text,race-h,null-shot,2780,556,162
gemini-pro-text,halueval-general,zero-shot,3684,822,1
gemini-pro-text,halueval-general,null-shot,3686,820,1
gemini-pro-text,halueval-dialogue,zero-shot,7772,2225,3
gemini-pro-text,halueval-dialogue,null-shot,7794,2204,2
gemini-pro-text,math-geometry,zero-shot,90,389,0
gemini-pro-text,math-geometry,null-shot-cot,107,367,5
gemini-pro-text,math-geometry,zero-shot-cot,94,377,8
gemini-pro-text,math-geometry,null-shot,95,384,0
gemini-pro-text,math-count-prob,zero-shot,77,397,0
gemini-pro-text,math-count-prob,null-shot-cot,103,367,4
gemini-pro-text,math-count-prob,zero-shot-cot,85,385,4
gemini-pro-text,math-count-prob,null-shot,80,394,0
gemini-pro-text,math-pre-calc,zero-shot,106,439,1
gemini-pro-text,math-pre-calc,null-shot-cot,98,445,3
gemini-pro-text,math-pre-calc,zero-shot-cot,95,449,2
gemini-pro-text,math-pre-calc,null-shot,99,447,0
claude-3-sonnet,math-number,zero-shot,211,329,0
claude-3-sonnet,math-number,null-shot-cot,76,464,0
claude-3-sonnet,math-number,zero-shot-cot,213,327,0
claude-3-sonnet,math-number,null-shot,195,345,0
claude-3-sonnet,math-algebra,zero-shot,627,560,0
claude-3-sonnet,math-algebra,null-shot-cot,120,1067,0
claude-3-sonnet,math-algebra,zero-shot-cot,649,538,0
claude-3-sonnet,math-algebra,null-shot,637,550,0
claude-3-sonnet,anli,zero-shot,640,560,0
claude-3-sonnet,anli,null-shot-cot,570,630,0
claude-3-sonnet,anli,zero-shot-cot,489,711,0
claude-3-sonnet,anli,null-shot,512,688,0
claude-3-sonnet,triviaqa,zero-shot,787,213,0
claude-3-sonnet,triviaqa,null-shot-cot,400,600,0
claude-3-sonnet,triviaqa,zero-shot-cot,754,246,0
claude-3-sonnet,triviaqa,null-shot,319,681,0
claude-3-sonnet,halueval-summarization,zero-shot,5383,4617,0
claude-3-sonnet,halueval-summarization,null-shot,5564,4436,0
claude-3-sonnet,race-m,zero-shot,1060,376,0
claude-3-sonnet,race-m,null-shot-cot,1045,391,0
claude-3-sonnet,race-m,zero-shot-cot,913,523,0
claude-3-sonnet,race-m,null-shot,860,576,0
claude-3-sonnet,strategyqa,zero-shot,1277,1013,0
claude-3-sonnet,strategyqa,null-shot-cot,196,2094,0
claude-3-sonnet,strategyqa,zero-shot-cot,1212,1078,0
claude-3-sonnet,strategyqa,null-shot,515,1775,0
claude-3-sonnet,winogrande,zero-shot,751,516,0
claude-3-sonnet,winogrande,null-shot-cot,108,1159,0
claude-3-sonnet,winogrande,zero-shot-cot,585,682,0
claude-3-sonnet,winogrande,null-shot,408,859,0
claude-3-sonnet,math-pre-algebra,zero-shot,554,317,0
claude-3-sonnet,math-pre-algebra,null-shot-cot,99,772,0
claude-3-sonnet,math-pre-algebra,zero-shot-cot,548,323,0
claude-3-sonnet,math-pre-algebra,null-shot,559,312,0
claude-3-sonnet,math-int-algebra,zero-shot,154,749,0
claude-3-sonnet,math-int-algebra,null-shot-cot,49,854,0
claude-3-sonnet,math-int-algebra,zero-shot-cot,148,755,0
claude-3-sonnet,math-int-algebra,null-shot,153,750,0
claude-3-sonnet,gsm8k,zero-shot,853,466,0
claude-3-sonnet,gsm8k,null-shot-cot,822,497,0
claude-3-sonnet,gsm8k,zero-shot-cot,836,483,0
claude-3-sonnet,gsm8k,null-shot,780,539,0
claude-3-sonnet,aqua,zero-shot,155,99,0
claude-3-sonnet,aqua,null-shot-cot,129,125,0
claude-3-sonnet,aqua,zero-shot-cot,151,103,0
claude-3-sonnet,aqua,null-shot,142,112,0
claude-3-sonnet,halueval-qa,zero-shot,5224,4776,0
claude-3-sonnet,halueval-qa,null-shot,4259,5741,0
claude-3-sonnet,race-h,zero-shot,2373,1125,0
claude-3-sonnet,race-h,null-shot-cot,2036,1462,0
claude-3-sonnet,race-h,zero-shot-cot,1769,1729,0
claude-3-sonnet,race-h,null-shot,1983,1515,0
claude-3-sonnet,halueval-general,zero-shot,3681,826,0
claude-3-sonnet,halueval-general,null-shot,3686,821,0
claude-3-sonnet,halueval-dialogue,zero-shot,7113,2887,0
claude-3-sonnet,halueval-dialogue,null-shot,7456,2544,0
claude-3-sonnet,math-geometry,zero-shot,155,324,0
claude-3-sonnet,math-geometry,null-shot-cot,33,446,0
claude-3-sonnet,math-geometry,zero-shot-cot,148,331,0
claude-3-sonnet,math-geometry,null-shot,135,344,0
claude-3-sonnet,math-count-prob,zero-shot,162,312,0
claude-3-sonnet,math-count-prob,null-shot-cot,39,435,0
claude-3-sonnet,math-count-prob,zero-shot-cot,174,300,0
claude-3-sonnet,math-count-prob,null-shot,156,318,0
claude-3-sonnet,math-pre-calc,zero-shot,107,439,0
claude-3-sonnet,math-pre-calc,null-shot-cot,50,496,0
claude-3-sonnet,math-pre-calc,zero-shot-cot,98,448,0
claude-3-sonnet,math-pre-calc,null-shot,103,443,0
